"gamma","state_code","n","pairs","pres","cohesion","cap6","pct_ceil","eq_min","n_tiny","disp_km"
0.6,"18",20,42,37,88.0952380952381,41,90.2439024390244,0.452836783330403,0,11.6689453885093
0.8,"18",20,42,38,90.4761904761905,41,92.6829268292683,0.480126201498395,0,10.2594397477931
1,"18",20,42,38,90.4761904761905,41,92.6829268292683,0.496465344722244,0,10.1074660337161
0,"19",51,122,97,79.5081967213115,112.5,86.2222222222222,0.98601276541645,0,42.4471668778757
0.15,"19",51,122,99,81.1475409836066,112.5,88,0.661951237711512,0,35.2894604570196
0.3,"19",51,122,99,81.1475409836066,112.5,88,0.448178356584196,0,28.3288806151157
0.45,"19",51,122,101,82.7868852459016,112.5,89.7777777777778,0.448261963713276,0,23.053524662181
0.6,"19",51,122,101,82.7868852459016,112.5,89.7777777777778,0.44889330724635,0,21.1094964780878
0.8,"19",51,122,101,82.7868852459016,112.5,89.7777777777778,0.467679125764734,0,20.2689484063829
1,"19",51,122,101,82.7868852459016,112.5,89.7777777777778,0.492781670174095,0,20.5129953944257
0,"20",570,1653,1179,71.3248638838476,1408,83.7357954545455,0.985655707658304,0,53.0208960285004
0.15,"20",570,1653,1211,73.2607380520266,1408,86.0085227272727,0.506157066893709,0,47.7720674567012
0.3,"20",570,1653,1241,75.0756200846945,1408,88.1392045454545,0.444675488712485,0,42.1021193129619
0.45,"20",570,1653,1255,75.9225650332728,1408,89.1335227272727,0.449415607883566,0,38.3938254503637
0.6,"20",570,1653,1271,76.8905021173624,1408,90.2698863636364,0.467280605195522,0,36.7893299917314
0.8,"20",570,1653,1278,77.3139745916515,1408,90.7670454545455,0.505827648917792,0,35.5858228841308
1,"20",570,1653,1268,76.7090139140956,1408,90.0568181818182,0.553236703000684,0,35.2440291914321
0,"21",217,556,428,76.978417266187,501.5,85.3439680957129,0.985054803763667,0,16.1377211359591
0.15,"21",217,556,444,79.8561151079137,501.5,88.5343968095713,0.536815781431046,0,13.2060079862569
0.3,"21",217,556,451,81.1151079136691,501.5,89.9302093718843,0.44711172606583,0,10.4727531108691
0.45,"21",217,556,450,80.9352517985612,501.5,89.7308075772682,0.445916705694785,0,8.29273323306401
0.6,"21",217,556,453,81.4748201438849,501.5,90.3290129611166,0.445237159631179,0,6.98628690857884
0.8,"21",217,556,457,82.1942446043166,501.5,91.1266201395813,0.445279165930272,0,6.17977040716953
1,"21",217,556,457,82.1942446043166,501.5,91.1266201395813,0.45289599985254,0,6.13701008454847
0,"22",18,33,29,87.8787878787879,33,87.8787878787879,0.993619558300503,0,9.94452029850645
0.15,"22",18,33,29,87.8787878787879,33,87.8787878787879,0.871815385944026,0,8.45041105350194
0.3,"22",18,33,29,87.8787878787879,33,87.8787878787879,0.753689796998593,0,6.94254970256689
0.45,"22",18,33,29,87.8787878787879,33,87.8787878787879,0.647049676634142,0,5.50568842861898
0.6,"22",18,33,30,90.9090909090909,33,90.9090909090909,0.553658463050529,0,4.18638788808237
0.8,"22",18,33,30,90.9090909090909,33,90.9090909090909,0.451238614163798,0,2.57750720548544
1,"22",18,33,30,90.9090909090909,33,90.9090909090909,0.451152090016945,0,1.61154854681106
0,"23",11,14,13,92.8571428571429,14,92.8571428571429,0.985769217036847,0,84.8732467065662
0.15,"23",11,14,14,100,14,100,0.775800057791627,0,72.5865451616258
0.3,"23",11,14,14,100,14,100,0.587609497820794,0,60.0800021468351
0.45,"23",11,14,14,100,14,100,0.449652697684328,0,47.1872408631883
0.6,"23",11,14,14,100,14,100,0.442798949787927,0,35.3948414847851
0.8,"23",11,14,14,100,14,100,0.442906960465679,0,30.1548288919449
1,"23",11,14,14,100,14,100,0.457802565749753,0,28.9555931998644
0,"24",58,136,112,82.3529411764706,128,87.5,0.987179994090018,0,59.6909391648744
0.15,"24",58,136,118,86.7647058823529,128,92.1875,0.703268035380734,0,49.2022686681427
0.3,"24",58,136,120,88.2352941176471,128,93.75,0.48169015089577,0,39.2499121870306
0.45,"24",58,136,120,88.2352941176471,128,93.75,0.446561417733736,0,30.7570244096352
0.6,"24",58,136,120,88.2352941176471,128,93.75,0.445819654104767,0,25.5953721965405
0.8,"24",58,136,120,88.2352941176471,128,93.75,0.445956012646991,0,20.6641983216524
1,"24",58,136,121,88.9705882352941,128,94.53125,0.461181499214862,0,18.913144502631
0,"25",18,31,30,96.7741935483871,30.5,98.3606557377049,0.987858415089923,0,26.8282900803683
0.15,"25",18,31,30,96.7741935483871,30.5,98.3606557377049,0.815526917429446,0,23.1299716102374
0.3,"25",18,31,30,96.7741935483871,30.5,98.3606557377049,0.666305487172789,0,19.3025567058321
0.45,"25",18,31,30,96.7741935483871,30.5,98.3606557377049,0.54105080707107,0,15.3754859388399
0.6,"25",18,31,30,96.7741935483871,30.5,98.3606557377049,0.448038196410435,0,11.3916067050989
0.8,"25",18,31,30,96.7741935483871,30.5,98.3606557377049,0.448274168131007,0,6.07211904668178
1,"25",18,31,30,96.7741935483871,30.5,98.3606557377049,0.448442151256154,0,4.4511373535936
0,"26",72,180,145,80.5555555555556,167,86.8263473053892,0.985199346314446,0,61.0565965680043
0.15,"26",72,180,145,80.5555555555556,167,86.8263473053892,0.689564359561818,0,53.6336283085875
0.3,"26",72,180,149,82.7777777777778,167,89.2215568862275,0.46741170056486,0,45.6264868058555
0.45,"26",72,180,153,85,167,91.6167664670659,0.449037136833225,0,37.6956063462069
0.6,"26",72,180,152,84.4444444444444,167,91.0179640718563,0.45758139871283,0,33.5941520266734
0.8,"26",72,180,151,83.8888888888889,167,90.4191616766467,0.481232751163014,0,32.0145290177946
1,"26",72,180,149,82.7777777777778,167,89.2215568862275,0.509363768786472,0,31.9119778496593
0,"27",17,32,25,78.125,32,78.125,0.995428598130596,0,24.817126983059
0.15,"27",17,32,25,78.125,32,78.125,0.841002649602833,0,21.0994824904257
0.3,"27",17,32,28,87.5,32,87.5,0.69833419729321,0,17.3013173200322
0.45,"27",17,32,28,87.5,32,87.5,0.571924292437477,0,13.558239267017
0.6,"27",17,32,28,87.5,32,87.5,0.462245790846505,0,10.0263994798643
0.8,"27",17,32,28,87.5,32,87.5,0.4480613879763,0,6.82255081247407
1,"27",17,32,28,87.5,32,87.5,0.447988685004385,0,6.04110664982454
0,"28",43,87,76,87.3563218390805,83.5,91.0179640718563,0.978757814964917,0,30.1989810193037
0.15,"28",43,87,75,86.2068965517241,83.5,89.8203592814371,0.612707066828301,0,25.5960786267568
0.3,"28",43,87,78,89.6551724137931,83.5,93.4131736526946,0.455893249330119,0,21.4494698128531
0.45,"28",43,87,78,89.6551724137931,83.5,93.4131736526946,0.45584761285809,0,17.7928868603364
0.6,"28",43,87,78,89.6551724137931,83.5,93.4131736526946,0.444167024796154,0,14.9558942308851
