"region","lon","lat"
"13041",-99.1827496593868,20.2242225519924
"13042",-98.7760419432302,20.8647452228973
"13043",-99.1735573771765,20.7873484173643
"13044",-99.6753247591774,20.232630930306
"13045",-98.6217125789831,20.1705351627272
"13046",-98.5814208007151,21.263025949644
"13047",-99.3145540492757,20.9986372766616
"13048",-98.7835535244991,20.1015235007038
"13049",-98.9895185696144,21.2354164929614
"13050",-99.1789220265781,20.3117820766807
"13051",-98.7211125114333,20.0603566982565
"13052",-98.9423654788741,20.0956747211339
"13053",-98.189405933654,20.4703754237666
"13054",-99.0485341502968,20.3058631484574
"13055",-98.9840366214186,20.4124091352148
"13056",-98.3915335550465,20.0352059216854
"13057",-98.4960610285012,19.9880999686612
"13058",-99.3778705707543,20.542054568269
"13059",-99.6317672284701,20.5394977382491
"13060",-98.2098557802275,20.343242076172
"13061",-98.496175589466,19.813542119195
"13062",-98.8345582717068,21.0602351851886
"13063",-99.3638979602032,19.9016993857242
"13064",-99.4001499487205,20.1947588857522
"13065",-99.1501717196115,20.1154680759674
"13066",-98.8019909301191,19.9122174908293
"13067",-99.2948626023929,20.180051343744
"13068",-98.5442905301046,20.779296076221
"13069",-98.9610670360746,19.852393332475
"13070",-99.2189768270806,20.132131251238
"13071",-98.9706823876961,20.8667060465796
"13072",-98.5881833086207,19.8355746903024
"13073",-98.6471781682386,21.0308322448969
"13074",-99.2269540233147,20.0974022659219
"13075",-98.9236385398712,19.9558532199715
"13076",-99.3767782552028,20.0632535340497
"13077",-98.3518843478074,20.1219934393983
"13078",-98.2881812859319,20.8590490390496
"13079",-98.6413337350477,20.795206033188
"13080",-98.3837837800104,20.9170529668199
"13081",-98.5870965073307,20.6509494640345
"13082",-98.8541843912215,19.9914245080981
"13083",-98.6726985153368,19.9238550141346
"13084",-99.3661311462558,20.750932821008
"14001",-102.907976873792,20.7695631585327
"14002",-103.608413186965,20.4260290520592
"14003",-103.93611939759,20.7127429646769
"14004",-103.622578359152,20.0001537855861
"14005",-103.717293269935,20.8494631359607
